"y"	"akiec"	"bcc"	"mel"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
"ben"	"not"	"not"	"not"	"ben"
